case_id,source_hash,subject,grade,question_text,annotator_a,annotator_b,adjudicated_code,consent_confirmed,deidentified,status
REAL-001,,数学,,,,,,,,待采集
REAL-002,,数学,,,,,,,,待采集
REAL-003,,数学,,,,,,,,待采集
REAL-004,,数学,,,,,,,,待采集
REAL-005,,数学,,,,,,,,待采集
REAL-006,,数学,,,,,,,,待采集
REAL-007,,数学,,,,,,,,待采集
REAL-008,,数学,,,,,,,,待采集
REAL-009,,数学,,,,,,,,待采集
REAL-010,,数学,,,,,,,,待采集
REAL-011,,数学,,,,,,,,待采集
REAL-012,,数学,,,,,,,,待采集
REAL-013,,数学,,,,,,,,待采集
REAL-014,,数学,,,,,,,,待采集
REAL-015,,数学,,,,,,,,待采集
REAL-016,,数学,,,,,,,,待采集
REAL-017,,数学,,,,,,,,待采集
REAL-018,,数学,,,,,,,,待采集
REAL-019,,数学,,,,,,,,待采集
REAL-020,,数学,,,,,,,,待采集
REAL-021,,数学,,,,,,,,待采集
REAL-022,,数学,,,,,,,,待采集
REAL-023,,数学,,,,,,,,待采集
REAL-024,,数学,,,,,,,,待采集
REAL-025,,数学,,,,,,,,待采集
REAL-026,,数学,,,,,,,,待采集
REAL-027,,数学,,,,,,,,待采集
REAL-028,,数学,,,,,,,,待采集
REAL-029,,数学,,,,,,,,待采集
REAL-030,,数学,,,,,,,,待采集
REAL-031,,数学,,,,,,,,待采集
REAL-032,,数学,,,,,,,,待采集
REAL-033,,数学,,,,,,,,待采集
REAL-034,,数学,,,,,,,,待采集
REAL-035,,数学,,,,,,,,待采集
REAL-036,,数学,,,,,,,,待采集
REAL-037,,数学,,,,,,,,待采集
REAL-038,,数学,,,,,,,,待采集
REAL-039,,数学,,,,,,,,待采集
REAL-040,,数学,,,,,,,,待采集
REAL-041,,数学,,,,,,,,待采集
REAL-042,,数学,,,,,,,,待采集
REAL-043,,数学,,,,,,,,待采集
REAL-044,,数学,,,,,,,,待采集
REAL-045,,数学,,,,,,,,待采集
REAL-046,,数学,,,,,,,,待采集
REAL-047,,数学,,,,,,,,待采集
REAL-048,,数学,,,,,,,,待采集
REAL-049,,数学,,,,,,,,待采集
REAL-050,,数学,,,,,,,,待采集
